Sample size N: 100
-0.37658	0.15347
-0.22907	0.15903
-0.19071	0.55787
-0.15784	-0.24093
-0.13348	0.62247
-0.08962	0.54907
-0.03281	0.61374
-0.02752	0.35117
-0.01696	0.39071
0.00447	0.55491
0.11248	0.35580
0.11499	0.42376
0.12645	0.24167
0.16642	0.06016
0.17007	0.07070
0.21646	0.51577
0.23740	0.49679
0.24180	0.48216
0.25570	0.13482
0.30711	0.36814
0.30896	0.60141
0.33416	0.65780
0.33872	0.40169
0.33880	0.47074
0.33920	0.58614
0.35192	-0.08795
0.36008	0.32721
0.36471	0.55070
0.37293	0.60885
0.37474	0.86930
0.37737	0.52045
0.39912	0.27837
0.39983	0.53239
0.40451	0.51932
0.41833	0.45301
0.42716	0.86651
0.42833	-0.44428
0.43062	0.71380
0.43771	0.34323
0.44041	0.12033
0.44372	0.19890
0.46042	0.45696
0.46401	0.33192
0.47297	0.62023
0.47937	0.19103
0.48972	0.27145
0.49061	0.36682
0.49252	0.33011
0.49345	0.48499
0.50418	0.84819
0.51170	0.65625
0.51483	0.17282
0.51509	0.24013
0.51530	0.26084
0.53458	0.43736
0.53661	0.63999
0.54973	0.64586
0.57845	-0.17863
0.59433	0.88535
0.60197	0.14117
0.61274	0.76065
0.61838	0.63284
0.62216	0.09807
0.63024	0.62026
0.63118	1.23374
0.64331	0.83559
0.65557	0.64937
0.66299	0.23304
0.66766	0.09610
0.69586	0.15100
0.69764	0.91886
0.69817	0.35753
0.73537	1.24752
0.75384	0.73064
0.76510	0.65906
0.77352	0.53389
0.78957	0.46802
0.80665	0.75618
0.82377	0.06500
0.83645	0.73021
0.84529	1.04620
0.86919	0.41535
0.88808	0.41142
0.90128	1.10921
0.91015	0.41731
0.91869	0.33989
0.92393	0.39704
0.92445	0.57405
0.95584	0.32207
0.95866	0.05751
1.02453	0.56088
1.04046	0.55081
1.04205	-0.23853
1.04781	0.17631
1.10050	0.18196
1.14154	0.42335
1.14746	0.82932
1.15956	0.36944
1.32837	0.09045
1.40807	0.16267
