Run: 0:	0	4	7	8	10	12	15	17	23	28	33	35	39	42	43	45	49	55	61	66	71	76	78	79	84	85	88	90	95	96	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
Run: 1:	0	2	8	11	12	16	20	21	26	28	33	36	42	48	50	51	57	60	66	70	74	79	80	83	88	91	94	97	98	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
Run: 2:	0	6	12	17	21	26	27	33	38	42	45	48	53	58	63	68	70	73	78	84	88	94	98	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
Run: 3:	0	4	9	13	17	19	22	26	30	32	33	39	41	42	43	49	51	57	58	63	67	68	74	77	82	88	92	93	95	97	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
Run: 4:	0	6	11	16	19	20	21	27	30	31	32	34	36	38	43	45	46	49	54	60	63	64	70	75	81	83	85	87	89	93	94	99	100	100	100	100	100	100	100	100	100	100	100	100	100	
Run: 5:	0	6	12	16	22	25	30	36	38	42	43	47	50	52	56	59	60	61	67	70	76	80	85	91	95	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
Run: 6:	0	4	10	15	16	20	21	26	28	33	37	43	47	48	52	58	64	69	71	77	82	86	88	93	97	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
Run: 7:	0	6	11	15	19	25	27	30	31	33	37	40	42	43	45	49	53	58	61	64	65	69	73	78	81	83	87	90	96	98	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
Run: 8:	0	1	2	3	8	12	14	15	19	24	28	32	35	41	42	48	50	56	60	65	69	72	78	79	80	83	86	89	94	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
Run: 9:	0	4	8	9	15	17	19	20	24	27	31	35	39	44	49	51	53	54	57	59	60	64	70	76	80	85	90	94	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
Run: 10:	0	6	12	16	18	23	29	35	37	42	46	52	55	56	61	62	63	68	71	76	82	85	86	88	90	95	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
Run: 11:	0	6	8	11	17	22	24	27	30	34	40	44	48	51	53	54	60	61	62	68	71	72	76	81	82	83	88	91	93	97	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
Run: 12:	0	5	6	9	12	15	19	22	28	34	36	42	45	46	51	55	56	59	60	64	68	69	71	72	77	82	84	90	93	95	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
Run: 13:	0	6	10	11	15	19	20	23	27	32	34	35	39	45	48	53	56	58	60	65	69	70	74	79	83	86	90	95	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
Run: 14:	0	2	4	8	13	19	22	27	29	33	35	40	45	48	52	53	55	58	64	68	71	73	75	77	78	84	88	89	90	94	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
Run: 15:	0	5	8	14	20	23	28	29	34	35	41	43	48	52	58	60	64	66	68	70	72	74	79	80	81	87	89	90	95	97	98	99	100	100	100	100	100	100	100	100	100	100	100	100	100	
Run: 16:	0	4	5	7	9	11	13	17	21	23	25	27	28	32	34	35	39	43	46	50	52	55	58	61	63	69	74	79	82	84	90	96	97	98	100	100	100	100	100	100	100	100	100	100	100	
Run: 17:	0	4	9	15	20	22	25	31	35	36	37	39	41	42	48	51	56	59	65	71	75	79	85	89	90	92	93	94	98	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
Run: 18:	0	3	6	9	15	16	18	24	26	31	32	34	38	42	48	53	57	63	67	73	77	82	88	92	93	95	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
Run: 19:	0	2	6	7	11	15	19	21	26	28	32	36	42	47	53	56	57	59	60	64	68	72	76	78	81	85	90	94	98	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
