Sample size N: 10000
 0	52
 1	99
 2	105
 3	95
 4	97
 5	115
 6	71
 7	91
 8	115
 9	88
10	95
11	99
12	118
13	91
14	105
15	94
16	98
17	101
18	112
19	86
20	106
21	106
22	80
23	84
24	105
25	106
26	112
27	96
28	110
29	114
30	94
31	110
32	97
33	100
34	113
35	103
36	116
37	115
38	110
39	105
40	97
41	107
42	90
43	103
44	102
45	103
46	96
47	91
48	100
49	100
50	98
51	109
52	92
53	100
54	110
55	109
56	116
57	113
58	87
59	90
60	81
61	101
62	89
63	96
64	97
65	97
66	94
67	101
68	97
69	109
70	98
71	99
72	102
73	102
74	106
75	109
76	112
77	83
78	96
79	93
80	89
81	105
82	87
83	90
84	96
85	101
86	88
87	84
88	109
89	104
90	92
91	93
92	97
93	112
94	114
95	107
96	99
97	108
98	98
99	93
100	50
